name,status,active,department,institution,city,region,country,first_year,last_year,lat,lon,link,tags,papers,affiliation
Christopher Price,past,0,Department of Biomedical Engineering,University of Delaware,Newark,DE,USA,2016,2017,39.6837,-75.7530,,collaborator;udel,3,"Department of Biomedical Engineering, University of Delaware, Newark, Delaware, United States of America."
Aaron M Chamberlain,past,0,Department of Orthopaedic Surgery,Washington University in St. Louis,St. Louis,MO,USA,2021,2022,38.6488,-90.3108,,collaborator;washu,2,"Department of Orthopaedic Surgery, Washington University in St. Louis, St. Louis, MO, United States."
Melanie K Smith,past,0,Department of Biomedical Engineering,University of Delaware,Newark,DE,USA,2016,2017,39.6837,-75.7530,,collaborator;udel,2,"Department of Biomedical Engineering, University of Delaware, Newark, Delaware, United States of America."
Michael J Zuscik,current,1,Colorado Program for Musculoskeletal Research,University of Colorado Anschutz Medical Campus,Aurora,CO,USA,2014,2025,39.7460,-104.8365,,collaborator;cu-anschutz;orthopedics,2,"Colorado Program for Musculoskeletal Research, Department of Orthopedics, Anschutz Medical Campus, University of Colorado, Aurora, Colorado, USA."
Spencer P Lake,current,1,Department of Mechanical Engineering and Materials Science,Washington University in St. Louis,St. Louis,MO,USA,2021,2025,38.6488,-90.3108,,collaborator;washu,2,"Department of Mechanical Engineering and Materials Science, Washington University in St. Louis, St. Louis, MO, United States."
Alex J Reiter,past,0,Department of Mechanical Engineering and Materials Science,Washington University in St. Louis,St. Louis,MO,USA,2022,2022,38.6488,-90.3108,,collaborator;washu,1,"Department of Mechanical Engineering and Materials Science, Washington University in St. Louis, St. Louis, MO, United States."
Avery T White,past,0,Department of Biomedical Engineering,University of Delaware,Newark,DE,USA,2017,2017,39.6837,-75.7530,,collaborator;udel,1,"Department of Biomedical Engineering, University of Delaware, 161 Colburn Lab, Newark, Delaware, 19716."
Chelsey L Dunham,past,0,Department of Biomedical Engineering,Washington University in St. Louis,St. Louis,MO,USA,2022,2022,38.6488,-90.3108,,collaborator;washu,1,"Department of Biomedical Engineering, Washington University in St. Louis, St. Louis, MO, United States."
Cheryl L Ackert-Bicknell,current,1,Colorado Program for Musculoskeletal Research,University of Colorado Anschutz Medical Campus,Aurora,CO,USA,2025,2025,39.7460,-104.8365,,collaborator;cu-anschutz;orthopedics,1,"Colorado Program for Musculoskeletal Research, Department of Orthopedics, Anschutz Medical Campus, University of Colorado, Aurora, Colorado, USA."
Courtney Miller,current,1,Foot and Ankle Orthopedics,University of Colorado Anschutz Medical Campus,Aurora,CO,USA,2025,2025,39.7460,-104.8365,,collaborator;cu-anschutz;orthopedics,1,"Foot and Ankle Orthopedics, Orthopedic Surgery, University of Colorado, Aurora, Colorado, USA."
Daniel K Moon,current,1,Colorado Program for Musculoskeletal Research,University of Colorado Anschutz Medical Campus,Aurora,CO,USA,2025,2025,39.7460,-104.8365,,collaborator;cu-anschutz;orthopedics,1,"Colorado Program for Musculoskeletal Research, Department of Orthopedics, Anschutz Medical Campus, University of Colorado, Aurora, Colorado, USA."
Hani A Awad,past,0,Department of Biomedical Engineering,University of Rochester,Rochester,NY,USA,2014,2014,43.1293,-77.6290,,collaborator;urochester,1,"Department of Biomedical Engineering, University of Rochester, Rochester, New York, United States of America; Center for Musculoskeletal Research, University of Rochester Medical Center, Rochester, New York, United States of America."
Ian M Berke,past,0,Department of Biomedical Engineering,University of Delaware,Newark,DE,USA,2016,2016,39.6837,-75.7530,,collaborator;udel,1,"Department of Biomedical Engineering, University of Delaware, Newark, Delaware, United States of America."
Ishani D Shah,past,0,Department of Mechanical Engineering and Materials Science,Washington University in St. Louis,St. Louis,MO,USA,2022,2022,38.6488,-90.3108,,collaborator;washu,1,"Department of Mechanical Engineering and Materials Science, Washington University in St. Louis, St. Louis, MO, United States."
James A Abraham,past,0,Department of Mechanical Engineering and Materials Science,Washington University in St. Louis,St. Louis,MO,USA,2022,2022,38.6488,-90.3108,,collaborator;washu,1,"Department of Mechanical Engineering and Materials Science, Washington University in St. Louis, St. Louis, MO, United States."
Jason A Inzana,past,0,Department of Biomedical Engineering,University of Rochester,Rochester,NY,USA,2014,2014,43.1293,-77.6290,,collaborator;urochester,1,"Department of Biomedical Engineering, University of Rochester, Rochester, New York, United States of America."
Joseph P Miola,past,0,Department of Biomedical Engineering,University of Delaware,Newark,DE,USA,2016,2016,39.6837,-75.7530,,collaborator;udel,1,"Department of Biomedical Engineering, University of Delaware, Newark, Delaware, United States of America."
Joshua A Metzl,current,1,Foot and Ankle Orthopedics,University of Colorado Anschutz Medical Campus,Aurora,CO,USA,2025,2025,39.7460,-104.8365,,collaborator;cu-anschutz;orthopedics,1,"Foot and Ankle Orthopedics, Orthopedic Surgery, University of Colorado, Aurora, Colorado, USA."
Julia Matthias,current,1,Colorado Program for Musculoskeletal Research,University of Colorado Anschutz Medical Campus,Aurora,CO,USA,2025,2025,39.7460,-104.8365,,collaborator;cu-anschutz;orthopedics,1,"Colorado Program for Musculoskeletal Research, Department of Orthopedics, Anschutz Medical Campus, University of Colorado, Aurora, Colorado, USA."
Kenneth J Hunt,current,1,Colorado Program for Musculoskeletal Research,University of Colorado Anschutz Medical Campus,Aurora,CO,USA,2025,2025,39.7460,-104.8365,,collaborator;cu-anschutz;orthopedics,1,"Colorado Program for Musculoskeletal Research, Department of Orthopedics, Anschutz Medical Campus, University of Colorado, Aurora, Colorado, USA."
Khyrie H Jones,past,0,Department of Pathology and Laboratory Medicine,University of Rochester,Rochester,NY,USA,2014,2014,43.1293,-77.6290,,collaborator;imaging;urochester,1,"Department of Pathology and Laboratory Medicine, University of Rochester Medical Center, Rochester, New York, United States of America."
Kristi L Kiick,past,0,,Delaware Biotechnology Institute,Newark,DE,USA,2017,2017,39.6837,-75.7530,,collaborator;udel-dbi,1,"Delaware Biotechnology Institute , Newark, Delaware 19711, United States."
Leanne E Iannucci,past,0,Department of Biomedical Engineering,Washington University in St. Louis,St. Louis,MO,USA,2022,2022,38.6488,-90.3108,,collaborator;washu,1,"Department of Biomedical Engineering, Washington University in St. Louis, St. Louis, MO, United States."
Leo Q Wan,past,0,Department of Biomedical Engineering,Rensselaer Polytechnic Institute,Troy,NY,USA,2016,2016,42.7288,-73.6918,,collaborator;rpi,1,"Department of Biomedical Engineering, Rensselaer Polytechnic Institute, Troy, NY, 12180, USA."
Liyun Wang,past,0,Department of Mechanical Engineering,University of Delaware,Newark,DE,USA,2016,2016,39.6837,-75.7530,,collaborator;udel,1,"Department of Mechanical Engineering, University of Delaware, 130 Academy Street SPL126, Newark, DE, 19716, USA."
Lucas C Dunshee,past,0,,Unknown (needs review),,,USA,2017,2017,,,,collaborator;needs-review,1,
Michael David,current,1,Colorado Program for Musculoskeletal Research,University of Colorado Anschutz Medical Campus,Aurora,CO,USA,2025,2025,39.7460,-104.8365,,collaborator;cu-anschutz;orthopedics,1,"Colorado Program for Musculoskeletal Research, Department of Orthopedics, Anschutz Medical Campus, University of Colorado, Aurora, Colorado, USA."
Morgan A Urello,past,0,,Unknown (needs review),,,USA,2017,2017,,,,collaborator;needs-review,1,
