collection,image,title,tags,date,year,style,subtitle,alt,featured,featured_rank,home_slot,project_area,project_area_rank,project_page_section,project_page_rank,header_background,header_background_rank,share_page,share_page_rank
pictures,images/group_cu-csu_ors_2-2025.jpeg,Group photo,team; group; lab,12/22/25,2025,square,,,,,,,,,,,,,
pictures,images/nature_anschutz-day-2025.jpeg,Anschutz campus (day),nature; outdoors; beyond the lab,12/22/25,2025,banner,,,,,,,,,,,,,
pictures,images/nature_anschutz-night-2025.jpeg,Anschutz campus (night),nature; outdoors; beyond the lab,12/22/25,2025,banner,,,,,,,,,,,,,
pictures,images/news_1-2025.png,News 1,,12/22/25,2025,square,,,,,,,,,,,,,
pictures,images/news_2-2025.png,News 2,,12/22/25,2025,square,,,,,,,,,,,,,
pictures,images/team_1-2025.jpeg,Team photo,team; group; lab,12/22/25,2025,square,,,,,team,,,,,,,,
pictures,images/group_CPMR_HH_12-2024.jpeg,Group photo,team; group; lab,12/22/25,2024,square,,,,,,,,,,,,,
pictures,images/group_cu-csu_ors_1-2024.jpeg,Group photo,team; group; lab,12/22/25,2024,square,,,,,,,,,,,,,
pictures,images/group_lakelab_ors_3-2024.jpeg,Group photo,team; group; lab,12/22/25,2024,square,,,,,,,,,,,,,
pictures,images/mentors_1-2024.jpeg,Mentors,mentors,12/22/25,2024,square,,,TRUE,3,,,,,,,,,
pictures,images/music-dave-matthews-2024.jpeg,Music: Dave Matthews,music; beyond the lab,12/22/25,2024,square,,,,,,,,,,,,,
pictures,images/music-lotus-2-2024.jpeg,Music: Lotus 2,music; beyond the lab,12/22/25,2024,square,,,,,,,,,,,,,
pictures,images/music-lotus-2024.jpeg,Music: Lotus,music; beyond the lab,12/22/25,2024,square,,,,,,,,,,TRUE,4,,
pictures,images/nature_IMG_6033-2024.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,2024,square,,,,,,,,,,,,,
pictures,images/nature_IMG_6112-2024.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,2024,square,,,,,,,,,,,,,
pictures,images/nature_IMG_6169-2024.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,2024,banner,,,,,,,,,,,,,
pictures,images/nature_IMG_6192-2024.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,2024,square,,,,,,,,,,,,,
pictures,images/nature_IMG_6211-2024.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,2024,square,,,,,,,,,,,,,
